"family","species","latitude","longitude","month","year","temperature","precipitation"
"Trochilidae","Amazilia tzacatl",9.780881,-84.6061,6,2019,25.2544860839844,3357.62670898438
"Trochilidae","Amazilia tzacatl",9.460861,-83.6039,2,2024,18.1801071166992,5104.65283203125
"Ramphastidae","Ramphastos sulfuratus",17.058022,-89.0264,9,2024,25.3534374237061,1652.71606445312
"Trochilidae","Amazilia tzacatl",10.41326,-84.12736,3,2017,24.0561389923096,3983.61596679688
"Trochilidae","Amazilia tzacatl",0.526047,-79.21237,4,2022,23.7524509429932,2916.7958984375
"Trochilidae","Amazilia tzacatl",8.832746,-82.97062,12,2021,20.4299774169922,5040.26513671875
"Psittacidae","Ara macao",6.304654,-75.554398,12,2025,17.1459922790527,2200.83544921875
"Trochilidae","Amazilia tzacatl",8.644037,-80.095116,5,2022,22.7288646697998,2847.08911132812
"Ramphastidae","Ramphastos sulfuratus",12.999229,-85.9094,10,2023,19.8613014221191,1685.79724121094
"Trochilidae","Amazilia tzacatl",9.915026,-84.020004,1,2024,18.7922496795654,3090.67211914062
"Trochilidae","Amazilia tzacatl",17.751793,-88.653915,1,2024,25.9730472564697,1658.17370605469
"Trochilidae","Amazilia tzacatl",9.061626,-79.64953,5,2023,25.752269744873,2543.22387695312
"Ramphastidae","Ramphastos sulfuratus",9.133547,-79.72072,7,2015,25.717378616333,2767.18994140625
"Ramphastidae","Ramphastos sulfuratus",8.775404,-80.150055,5,2011,24.2861366271973,2833.61938476562
"Trochilidae","Amazilia tzacatl",10.439027,-84.0076,1,2021,24.3582134246826,3935.75463867188
"Trochilidae","Amazilia tzacatl",11.277092,-73.122086,3,2024,27.2730026245117,1384.71752929688
"Trochilidae","Amazilia tzacatl",17.13685,-89.06673,7,2021,25.7464981079102,1524.36376953125
"Psittacidae","Ara macao",9.808416,-84.611473,12,2024,25.2544860839844,3357.62670898438
"Trochilidae","Amazilia tzacatl",16.97486,-91.58876,12,2023,20.7657012939453,2414.373046875
"Trochilidae","Amazilia tzacatl",17.265753,-88.75948,6,2017,25.716625213623,1787.71936035156
"Trochilidae","Amazilia tzacatl",17.889528,-96.12608,3,2019,24.1437931060791,2974.12426757812
"Psittacidae","Ara macao",9.780881,-84.6061,12,2016,25.2544860839844,3357.62670898438
"Trochilidae","Amazilia tzacatl",3.900417,-75.48946,10,2021,17.1611061096191,3105.23779296875
"Trochilidae","Amazilia tzacatl",17.22248,-89.62307,1,2024,25.4286136627197,1534.83581542969
"Ramphastidae","Ramphastos sulfuratus",17.22248,-89.62307,12,2011,25.4286136627197,1534.83581542969
